,Year,home_team,home_gdp,home_population,home_oddset,home_fifa_rank,home_host,away_team,away_gdp,away_population,away_oddset,away_fifa_rank,away_host,home_goal,away_goal,win_point,result
197,2002,KOR,45275,5127,25000,39,1,POL,34241,3785,12500,21,0,2,0,2,1
198,2002,RUS,29813,14594,200000,38,0,TUN,10823,1182,35000,26,0,2,0,2,1
199,2002,SWE,55038,1010,200000,18,0,NGA,5187,20614,200000,32,0,2,1,1,1
200,2002,BRA,14836,21256,450,3,0,CHN,17211,143933,200000,77,0,4,0,4,1
201,2002,JPN,42391,12648,25000,28,1,RUS,29813,14594,200000,38,0,1,0,1,1
202,2002,MEX,18445,12894,15000,11,0,ECU,10896,1765,15000,53,0,2,1,1,1
203,2002,KOR,45275,5127,25000,39,1,USA,63594,33101,10000,20,0,1,1,0,0
204,2002,TUN,10823,1182,35000,26,0,BEL,53035,1159,1200,1,0,1,1,0,0
205,2002,SWE,55038,1010,200000,18,0,ARG,20771,4520,900,8,0,1,1,0,0
206,2002,TUR,27236,8434,200000,29,0,CHN,17211,143933,200000,77,0,3,0,3,1
207,2002,MEX,18445,12894,15000,11,0,ITA,41829,6047,200000,7,0,1,1,0,0
208,2002,TUN,10823,1182,35000,26,0,JPN,42391,12648,25000,28,1,0,2,-2,-1
209,2002,POL,34241,3785,12500,21,0,USA,63594,33101,10000,20,0,3,1,2,1
210,2002,BEL,53035,1159,1200,1,0,RUS,29813,14594,200000,38,0,3,2,1,1
211,2002,ESP,37766,4676,800,6,0,IRL,93181,494,200000,47,0,1,1,0,0
212,2002,SWE,55038,1010,200000,18,0,SEN,3503,1675,8000,22,0,1,2,-1,-1
213,2002,BRA,14836,21256,450,3,0,BEL,53035,1159,1200,1,0,2,0,2,1
214,2002,MEX,18445,12894,15000,11,0,USA,63594,33101,10000,20,0,0,2,-2,-1
215,2002,JPN,42391,12648,25000,28,1,TUR,27236,8434,200000,29,0,0,1,-1,-1
216,2002,KOR,45275,5127,25000,39,1,ITA,41829,6047,200000,7,0,2,1,1,1
217,2002,SEN,3503,1675,8000,22,0,TUR,27236,8434,200000,29,0,0,1,-1,-1
218,2002,ESP,37766,4676,800,6,0,KOR,45275,5127,25000,39,1,0,0,0,0
219,2002,BRA,14836,21256,450,3,0,TUR,27236,8434,200000,29,0,1,0,1,1
220,2002,KOR,45275,5127,25000,39,1,TUR,27236,8434,200000,29,0,2,3,-1,-1
221,2006,POL,34241,3785,12500,21,0,ECU,10896,1765,15000,53,0,0,2,-2,-1
222,2006,ARG,20771,4520,900,8,0,CIV,5466,2638,200000,59,0,2,1,1,1
223,2006,MEX,18445,12894,15000,11,0,IRN,13339,8400,50000,31,0,3,1,2,1
224,2006,AUS,53330,2550,50000,41,0,JPN,42391,12648,25000,28,0,3,1,2,1
225,2006,USA,63594,33101,10000,20,0,CZE,41604,1071,200000,40,0,0,3,-3,-1
226,2006,ITA,41829,6047,200000,7,0,GHA,5745,3108,25000,49,0,2,0,2,1
227,2006,ESP,37766,4676,800,6,0,UKR,13055,4374,25000,24,0,4,0,4,1
228,2006,CZE,41604,1071,200000,40,0,GHA,5745,3108,25000,49,0,0,2,-2,-1
229,2006,ITA,41829,6047,200000,7,0,USA,63594,33101,10000,20,0,1,1,0,0
230,2006,BRA,14836,21256,450,3,0,AUS,53330,2550,50000,41,0,2,0,2,1
231,2006,FRA,46984,6528,550,2,0,KOR,45275,5127,25000,39,0,1,1,0,0
