,index,Year,home team,home gdp,home population,home oddset,home fifa rank,home host,away team,away gdp,away population,away oddset,away fifa rank,away host,win point,result
214,214,1970,BRA,14836,21256,450,211,0,ENG,10926,10,200000,211,0,1,1
215,215,1970,MEX,18445,12894,15000,211,1,SLV,8421,649,200000,211,0,4,1
216,216,1970,SWE,55038,1010,200000,211,0,URU,10926,10,200000,211,0,1,1
217,217,1970,FRG,10926,10,200000,211,0,PER,11879,3298,20000,211,0,2,1
218,218,1970,BRA,14836,21256,450,211,0,ROU,32117,1924,200000,211,0,1,1
219,219,1970,URS,10926,10,200000,211,0,SLV,8421,649,200000,211,0,2,1
220,220,1970,ITA,41829,6047,200000,211,0,ISR,39482,866,200000,211,0,0,0
221,221,1970,BUL,10926,10,200000,211,0,MAR,7370,3692,25000,211,0,0,0
222,222,1970,ENG,10926,10,200000,211,0,TCH,10926,10,200000,211,0,1,1
223,223,1970,MEX,18445,12894,15000,211,1,BEL,53035,1159,1200,211,0,1,1
224,224,1970,ITA,41829,6047,200000,211,0,MEX,18445,12894,15000,211,1,3,1
225,225,1970,FRG,10926,10,200000,211,0,ENG,10926,10,200000,211,0,1,1
226,226,1970,BRA,14836,21256,450,211,0,PER,11879,3298,20000,211,0,2,1
227,227,1970,URU,10926,10,200000,211,0,URS,10926,10,200000,211,0,1,1
228,228,1970,BRA,14836,21256,450,211,0,URU,10926,10,200000,211,0,2,1
229,229,1970,ITA,41829,6047,200000,211,0,FRG,10926,10,200000,211,0,1,1
230,230,1970,FRG,10926,10,200000,211,0,URU,10926,10,200000,211,0,1,1
231,231,1970,BRA,14836,21256,450,211,0,ITA,41829,6047,200000,211,0,3,1
232,232,1974,BRA,14836,21256,450,211,0,YUG,10926,10,200000,211,0,0,0
233,233,1974,FRG,10926,10,200000,211,0,CHI,0,10,200000,211,0,1,1
234,234,1974,GDR,10926,10,200000,211,0,AUS,53330,2550,50000,211,0,2,1
235,235,1974,ZAI,10926,10,200000,211,0,SCO,10926,10,200000,211,0,-2,-1
236,236,1974,URU,10926,10,200000,211,0,NED,10926,10,200000,211,0,-2,-1
237,237,1974,SWE,55038,1010,200000,211,0,BUL,10926,10,200000,211,0,0,0
238,238,1974,ITA,41829,6047,200000,211,0,HAI,10926,10,200000,211,0,2,1
239,239,1974,POL,34241,3785,12500,211,0,ARG,20771,4520,900,211,0,1,1
240,240,1974,AUS,53330,2550,50000,211,0,FRG,10926,10,200000,211,0,-3,-1
241,241,1974,SCO,10926,10,200000,211,0,BRA,14836,21256,450,211,0,0,0
242,242,1974,CHI,0,10,200000,211,0,GDR,10926,10,200000,211,0,0,0
243,243,1974,YUG,10926,10,200000,211,0,ZAI,10926,10,200000,211,0,9,1
244,244,1974,NED,10926,10,200000,211,0,SWE,55038,1010,200000,211,0,0,0
245,245,1974,BUL,10926,10,200000,211,0,URU,10926,10,200000,211,0,0,0
246,246,1974,HAI,10926,10,200000,211,0,POL,34241,3785,12500,211,0,-7,-1
247,247,1974,ARG,20771,4520,900,211,0,ITA,41829,6047,200000,211,0,0,0
248,248,1974,SCO,10926,10,200000,211,0,YUG,10926,10,200000,211,0,0,0
249,249,1974,AUS,53330,2550,50000,211,0,CHI,0,10,200000,211,0,0,0
250,250,1974,ZAI,10926,10,200000,211,0,BRA,14836,21256,450,211,0,-3,-1
251,251,1974,GDR,10926,10,200000,211,0,FRG,10926,10,200000,211,0,1,1
252,252,1974,BUL,10926,10,200000,211,0,NED,10926,10,200000,211,0,-3,-1
253,253,1974,ARG,20771,4520,900,211,0,HAI,10926,10,200000,211,0,3,1
